21ur-1014,34,male (score: -11)
21ur-10140,3,male (score: -13)
21ur-10141,5,male (score: -10)
21ur-10142,8,female (score: 10)
21ur-10143,7,not enriched (score: -2)
21ur-10144,3,not enriched (score: -2)
21ur-10145,5,not enriched (score: -1)
21ur-10146,1,female (score: 5)
21ur-10147,6,not enriched (score: 0)
21ur-10148,7,female (score: 12)
21ur-10149,57,male (score: -11)
21ur-1015,3,male (score: -5)
21ur-10150,2,male (score: -9)
21ur-10151,3,not enriched (score: 0)
21ur-10152,36,male (score: -16)
21ur-10153,6,male (score: -8)
21ur-10154,54,male (score: -13)
21ur-10155,5,male (score: -13)
21ur-10156,13,not enriched (score: -2)
21ur-10157,n.d.,male (score: -5)
21ur-10158,9,not enriched (score: 1)
21ur-10159,73,male (score: -8)
21ur-1016,55,male (score: -4)
21ur-10160,7,not enriched (score: 0)
21ur-10161,17,male (score: -8)
21ur-10162,n.d.,male (score: -5)
21ur-10163,3,female (score: 13)
21ur-10164,41,n.d.
21ur-10165,n.d.,female (score: 9)
21ur-10166,0,male (score: -7)
21ur-10167,19,not enriched (score: -2)
21ur-10168,6,n.d.
21ur-10169,4,not enriched (score: -1)
21ur-1017,174,male (score: -9)
21ur-10170,32,n.d.
21ur-10171,2,not enriched (score: -2)
21ur-10172,8,not enriched (score: 0)
21ur-10173,1,n.d.
21ur-10174,3,not enriched (score: -2)
21ur-10175,3,male (score: -6)
21ur-10176,17,n.d.
21ur-10177,2,n.d.
21ur-10178,n.d.,not enriched (score: 2)
21ur-10179,14,male (score: -8)
21ur-1018,83,not enriched (score: 0)
21ur-10180,17,female (score: 4)
21ur-10181,1,male (score: -5)
21ur-10182,n.d.,not enriched (score: -1)
21ur-10183,17,not enriched (score: -2)
21ur-10184,3,female (score: 4)
21ur-10185,10,male (score: -7)
21ur-10186,7,n.d.
21ur-10187,4,male (score: -5)
21ur-10188,5,not enriched (score: 0)
21ur-10189,9,male (score: -9)
21ur-1019,28,male (score: -11)
21ur-10190,61,n.d.
21ur-10191,1,n.d.
21ur-10192,n.d.,not enriched (score: 2)
21ur-10193,n.d.,female (score: 4)
21ur-10195,n.d.,not enriched (score: -2)
21ur-10198,n.d.,not enriched (score: -1)
21ur-10199,24,n.d.
21ur-102,205,male (score: -10)
21ur-1020,31,not enriched (score: -2)
21ur-10200,2,n.d.
21ur-10201,20,male (score: -9)
21ur-10202,7,female (score: 6)
21ur-10203,n.d.,female (score: 6)
21ur-10204,3,male (score: -11)
21ur-10205,2,male (score: -4)
21ur-10206,14,female (score: 4)
21ur-10207,7,female (score: 9)
21ur-10208,1,male (score: -4)
21ur-10209,n.d.,female (score: 12)
21ur-1021,885,male (score: -6)
21ur-10210,1,n.d.
21ur-10211,1,male (score: -10)
21ur-10212,9,female (score: 10)
21ur-10213,1,female (score: 3)
21ur-10214,2,not enriched (score: 2)
21ur-10215,41,female (score: 3)
21ur-10216,23,male (score: -5)
21ur-10217,22,male (score: -12)
21ur-10218,10,male (score: -12)
21ur-10219,78,not enriched (score: -1)
21ur-1022,58,female (score: 4)
21ur-10220,18,male (score: -7)
21ur-10221,27,female (score: 9)
21ur-10222,1,male (score: -8)
21ur-10223,1,male (score: -3)
21ur-10224,2,not enriched (score: 0)
21ur-10225,17,not enriched (score: 0)
21ur-10226,3,not enriched (score: -2)
21ur-10227,n.d.,male (score: -3)
21ur-10228,n.d.,not enriched (score: -2)
21ur-10229,3,male (score: -7)
21ur-1023,17,female (score: 12)
21ur-10230,5,female (score: 5)
21ur-10231,1,male (score: -11)
21ur-10232,13,not enriched (score: 0)
21ur-10233,3,not enriched (score: -1)
21ur-10234,2,male (score: -11)
21ur-10235,16,male (score: -8)
21ur-10236,2,male (score: -4)
21ur-10237,3,male (score: -3)
21ur-10238,2,male (score: -5)
21ur-10239,2,male (score: -5)
21ur-1024,11,not enriched (score: 0)
21ur-10240,2,not enriched (score: -1)
21ur-10241,84,male (score: -5)
21ur-10242,4,male (score: -7)
21ur-10243,11,male (score: -7)
21ur-10244,10,not enriched (score: -2)
21ur-10245,9,male (score: -3)
